Product_Title,Price,Shop,Category_Id
SAPPHIRE R7 240 1GB DDR5 GRAPHICS CARD, 5500,COMPUTER VILLAGE,1
ASUS GT 710-2-SL 2GB DDR5 GRAPHICS CARD, 6050,COMPUTER VILLAGE,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD, 8400,COMPUTER VILLAGE,1
ZOTAC GEFORCE GT 1030 2GB DDR5 GRAPHICS CARD, 8200,COMPUTER VILLAGE,1
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD, 8900,COMPUTER VILLAGE,1
ASUS PH-GT1030-O2G 2GB DDR5 GRAPHICS CARD, 9000,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 550 2GB DDR5 GRAPHICS CARD, 9600,COMPUTER VILLAGE,1
SAPPHIRE PULSE RADEON RX 550 2GB GDDR5 GRAPHICS CARD, 10000,COMPUTER VILLAGE,1
SAPPHIRE PULSE RADEON RX 550 4GB GDDR5 GRAPHICS CARD, 12000,COMPUTER VILLAGE,1
MSI RADEON RX 570 ARMOR 4G OC 4GB GDDR5 GRAPHICS CARD, 13200,COMPUTER VILLAGE,1
ASUS RADEON RX 550 4GB GDDR5 GRAPHICS CARD, 14000,COMPUTER VILLAGE,1
ZOTAC GAMING GEFORCE GTX 1650 OC GRAPHICS CARD, 14500,COMPUTER VILLAGE,1
ASUS PH-GTX1050-3GB GRAPHICS CARD, 15500,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 570 GAMING 8GB DDR5 MI GRAPHICS CARD, 16500,COMPUTER VILLAGE,1
Gigabyte GeForce GTX 1660 SUPER OC 6G Graphics Card,0 ,TECHLAND,1
ZOTAC GAMING GeForce GTX 1650 SUPER Twin Fan Graphics Card,0 ,TECHLAND,1
XFX AMD Radeon RX 5700 XT THICC II Ultra 8GB GDDR6 Graphics Card,43500 ,TECHLAND,1
GALAX GeForce RTX 2070 Super EX (1-Click OC) 8GB GDDR6 Graphics Card,51000 ,TECHLAND,1
GALAX GeForce RTX 2060 Super EX (1-Click OC) 8GB GDDR6 256-bit Graphics Card,38500 ,TECHLAND,1
GALAX GeForce RTX 2060 Super (1 Click OC) 8GB GDDR6 256-bit Graphics Card,35500 ,TECHLAND,1
Colorful GeForce GTX 1660 SUPER 6G-V Graphics Card,21500 ,TECHLAND,1
Colorful GeForce GTX 1660 SUPER NB 6G-V Graphics Card,19999 ,TECHLAND,1
Colorful iGame GeForce GTX 1660 SUPER Ultra 6G-V Graphics Card,22500 ,TECHLAND,1
MSI Radeon RX 5700 XT GAMING X Graphics Card,0 ,TECHLAND,1
MSI GeForce RTX 2080 SUPER VENTUS XS OC Graphics Card,80000 ,TECHLAND,1
MSI GeForce RTX 2070 SUPER VENTUS OC Graphics Card,58000 ,TECHLAND,1
COLORFUL GT710 2GD3 2GB GDDR3 GRAPHICS CARD #212327101802,3700,RYANS,1
GIGABYTE NVIDIA GEFORCE GT 710 1GB DDR5 GRAPHICS CARD #GV-N710D5-1GI,3800,RYANS,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR3 GRAPHICS CARD #GV-N710D3-2GL,4200,RYANS,1
