Product_Title,Price,Shop,Category_Id
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GDDR5 GRAPHICS CARD #GV-N1660GAMING OC-6GD,25800,RYANS,1
ASUS ROG STRIX RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD #ROG-STRIX-RX580-O8G-GAMING,26000,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 OC EDITION 6GB GDDR5 GRAPHICS CARD #TUF-GTX1660-O6G-GAMING,26400,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD #TUF-GTX1660-6G-GAMING,26400,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 SUPER TWIN FAN 6GB GDDR6 GRAPHICS CARD #ZT-T16620F-10L,26500,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #ZT-T16610F-10L,26800,RYANS,1
GIGABYTE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #GV-N166TOC-6GD	,27000,RYANS,1
GIGABYTE GTX 1060 WINDFORCE OC 6GB GDDR5 GRAPHICS CARD #GV-N1060WF2OC-6GD,27500,RYANS,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD #TUF3-GTX1660-6G-GAMING,27800,RYANS,1
MSI GEFORCE GTX 1660 TI VENTUS XS 6G OC 6GB GDDR6 GRAPHICS CARD	,28200,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 SUPER AMP 6GB GDDR6 GRAPHICS CARD #ZT-T16620D-10M,28800,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 TI AMP 6GB GDDR6 GRAPHICS CARD #ZT-T16610D-10M,29500,RYANS,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 OC EDITION 6GB GDDR5 GRAPHICS CARD #TUF3-GTX1660-O6G-GAMING,30000,RYANS,1
ASUS DUAL GEFORCE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #DUAL-GTX1660TI-O6G,30500,RYANS,1
MSI GEFORCE GTX 1660 TI GAMING X 6G 6GB GDDR6 GRAPHICS CARD	,31300,RYANS,1
ASUS ROG STRIX RADEON RX 590 8GB GDDR5 GRAPHICS CARD #ROG-STRIX-RX590-8G-GAMING	,32000,RYANS,1
SAPPHIRE RADEON RX 5700 8G 8GB GDDR6 GRAPHICS CARD #21294-01-20G,34500,RYANS,1
ASUS ROG STRIX GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #ROG-STRIX-GTX1660TI-6G-GAMING,35000,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #TUF-GTX1660TI-6G-GAMING,35000,RYANS,1
 GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GV-N2060WF2OC-6GD ,35500,RYANS,1
MSI RADEON RX 5700 MECH OC 8GB GDDR6 GRAPHICS CARD,39000,RYANS,1
ASUS TUF GAMING GEFORCE RTX 2060 OC EDITION 6GB GDDR6 GRAPHICS CARD #TUF-RTX2060-O6G-GAMING,42500,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER MINI 8GB GDDR6 GRAPHICS CARD #ZT-T20610E-10M,42700,RYANS,1
GIGABYTE RADEON RX 5700 XT GAMING OC 8G GDDR6 8GB GRAPHICS CARD #GV-R57XTGAMING OC-8GD,43000,RYANS,1
ASUS DUAL GEFORCE RTX 2060 SUPER EVO 8GB GDDR6 GRAPHICS CARD #DUAL-RTX2060S-8G-EVO,45000,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER AMP 8GB GDDR6 GRAPHICS CARD #ZT-T20610D-10P,45500,RYANS,1
MSI GEFORCE RTX 2060 SUPER VENTUS OC 8GB GDDR6 GRAPHICS CARD,46500,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER AMP EXTREME 8GB GDDR6 GRAPHICS CARD #ZT-T20610B-10P,47000,RYANS,1
MSI GEFORCE RTX 2060 SUPER GAMING X 8GB GDDR6 GRAPHICS CARD,50000,RYANS,1
ZOTAC GAMING GEFORCE RTX 2070 SUPER TWIN FAN 8GB GDDR6 GRAPHICS CARD #ZT-T20710F-10P,53300,RYANS,1
ZOTAC GAMING GEFORCE RTX 2070 SUPER AMP 8GB GDDR6 GRAPHICS CARD #ZT-T20710D-10P,55000,RYANS,1
MSI GEFORCE RTX 2070 VENTUS 8GB GDDR6 GRAPHICS CARD,55900,RYANS,1
MSI GEFORCE RTX 2070 SUPER VENTUS OC 8GB GDDR6 GRAPHICS CARD,59500,RYANS,1
